Update,Avg_Reward,Avg_Ep_Length,Miss_Dist_m,Impact_Speed_ms,Policy_Loss,Value_Loss,Time
770,-11.057868003845215,274.3484191894531,157.14474487304688,119.88487243652344,0.09245771169662476,4.19863224029541,22207.695454359055
780,-10.79460620880127,282.4858703613281,161.7236785888672,119.94709014892578,-0.000629885122179985,3.074254035949707,22337.164478063583
790,-10.880715370178223,281.2939453125,160.6089630126953,120.46209716796875,-0.030566325411200523,2.7326836585998535,22467.406889915466
700,-4.7390546798706055,673.4006958007812,59.7711296081543,95.52334594726562,0.07193426787853241,0.22928103804588318,15.169561386108398
710,-11.286576271057129,267.73760986328125,162.3915557861328,120.09839630126953,0.02377193421125412,3.772092819213867,293.34743785858154
700,-4.7269134521484375,673.4006958007812,59.58427810668945,95.0248031616211,0.045135170221328735,0.1181035116314888,17.323888778686523
710,-11.119178771972656,276.24310302734375,159.6006622314453,121.4186019897461,-0.07163015007972717,1.957603931427002,392.8704426288605
720,-11.563751220703125,259.40338134765625,157.80613708496094,119.75848388671875,0.016542010009288788,3.1105380058288574,934.3307492733002
730,-11.143559455871582,271.7391357421875,152.59274291992188,119.98624420166016,0.022890571504831314,2.677468776702881,1519.668820142746
740,-11.521899223327637,261.78009033203125,158.72459411621094,120.38545989990234,-0.006373479962348938,2.753302812576294,2122.1051049232483
750,-11.266060829162598,268.81719970703125,157.02000427246094,120.15831756591797,0.03777866065502167,2.8032851219177246,2323.788791656494
760,-11.12436580657959,272.47955322265625,158.4288787841797,120.08592224121094,0.1360606551170349,4.6280083656311035,2451.616682767868
770,-10.963780403137207,279.3296203613281,164.44577026367188,120.4814453125,-0.027161089703440666,2.5838305950164795,2638.4004471302032
780,-11.27949047088623,272.47955322265625,161.79408264160156,121.9078369140625,0.05675406754016876,3.368483543395996,2822.1357724666595
790,-11.489766120910645,261.4378967285156,151.96304321289062,119.81262969970703,-0.022729016840457916,2.4605507850646973,3045.819812774658
800,-11.313297271728516,267.73760986328125,160.0306854248047,120.35734558105469,-0.007608384825289249,2.4850246906280518,3586.5771679878235
810,-11.515412330627441,260.4166564941406,152.01004028320312,119.78792572021484,0.05572093278169632,3.3450050354003906,4192.8484036922455
820,-11.11848258972168,273.97259521484375,159.09439086914062,120.55284881591797,-0.018344532698392868,3.3301033973693848,4790.823548316956
